work_code	balance	actually_printed	assumed_printed	other_in	out	stocktakes	full_book_title
spbk0001660	264	1000	2000	186	-2922	2920; 118; 50	Mémoire donné au roi par M. Necker en 1778
spbk0001475	267	1000	0	0	-733	598; 385; 349; 328; 321	Loix naturelles de l'agriculture et de l'ordre social
spbk0002461	273	0	1018	17	-762	1018	Voyage d'un Suisse dans différentes colonies d'Amérique pendant la dernière guerre: avec une table d'observations météorologiques faites à Saint-Domingue
spbk0000243	277	515	0	49	-287	62; 62; 72; 71; 83	Bref du pape Clément XIV portant supression de la ci-devant Compagnie de Jésus
spbk0001563	299	0	1327	111	-1139	287; 76; 76; 61; 36; 23; 1; 27; 23	"Memoire sur la Compagnie des Indes, dans lequel on établit les droits & les intérêts des actionnaires"
spbk0002443	307	0	1010	6	-709	366; 309	Vilhelmine: poème héroi-comique
spbk0002068	309	1000	0	94	-785	768; 508; 567; 219; 219; 194; 162; 169; 6; 165; 151; 139	"Reflexions d'un Suisse sur cette question: seroit-il avantageux aux l cantons catholiques d'abolir les ordres réguliers, ou tout au moins de les diminuer?"
spbk0000805	324	0	1235	0	-911	340; 330	Essai sur le préjugé subsistant contre les familles des condamnés pour crime et sur la confiscation
spbk0000642	340	0	2059	22	-1741	497; 459; 414	"Ecole (l') du bonheur, ou Tableau des vertus sociales"
spbk0002571	357	2500	20000	2484	-24627	7145; 3951; 63; 18; 18; 9; 90; 90; 36	Questions sur l'Encyclopédie
spbk0000787	363	0	780	355	-772	281; 55; 389; 65	Essai sur la colonie de Sainte-Lucie
spbk0000252	381	1143	0	22	-784	448; 407; 8; 371; 20; 353; 48; 36	"Bureau (le) d'esprit, comedie en cinq actes et en prose"
spbk0001261	383	0	1036	434	-1087	434	Interprète (l') apologétique et politique de la nature
spbk0002953	400	400	0	0	0		"Edelzinde, fille d'Amalzonté, reine des Goths"
spbk0001272	409	0	1542	410	-1543	445; 86; 487; 469; 430	Introduction à la connaissance géographique et politique des Etats de l'Europe
spbk0001004	423	0	2045	1	-1623	1021; 499; 422; 400	Habitant (l') de la Guadeloupe: comédie en quatre actes
spbk0003571	436	0	2060	88	-1712	2060; 1428; 1126; 16; 988; 170; 774; 676; 676	"Système complete d'eduction publique, physique et morale, pour l'un & l'autre sexe & pour les diverses conditions"
spbk0002517	442	1544	0	1158	-2260	728; 508; 432	"Vérité (de la), ou méditations sur tous les moyens de parvenir à la vérité dans toutes les connaissances humaines"
spbk0003365	453	1100	0	57	-704	1009; 1009; 504; 477; 8; 432; 6; 232; 42; 23	"Commentaire historique sur les ouvres de l'auteur de La Henriade, avec les pièces originales et les preuvres"
spbk0002420	454	0	805	22	-373	804; 573; 537; 11; 489; 13; 464; 200	"Vie (la) de David Hume, écrite par lui-même"
spbk0001119	469	600	0	1	-132	1000; 1	"Histoire des conquêtes de Gustave-Adolfe, roi de Suède, en Allemagne ou Campagnes de ce monarque en 1630, 1631, 1632, précédées d'une introduction contenant l'origine & le commencement de la guerre de Trente ans"
spbk0003081	492	0	6726	576	-6810	6726; 2856; 2856; 2316; 1020; 1806; 6; 654; 180; 252	Oeuvres
spbk0000819	499	0	1049	516	-1066	486; 1	"Nouveaux essais sur la noblesse, ou après recherché l'origine & l'état civil de l'homme chez les peuples connus, on se propose de le guider dans les différens âges & emplois de la vie... par M. Barthès"
spbk0000353	502	1029	0	0	-527	587	Collection de pièces intéressantes et authentiques concernant la vie & les derniers jours de Frédéric le Grand
spbk0002655	505	776	3880	384	-4535	3996; 1272; 924; 918; 852; 528; 48; 342; 444; 36; 30	"Voyages de Richard Pockocke... en Orient, dans l'Egypte, l'Arabie, la Palestine, la Syrie, la Grèce, la Thrace, etc. etc."
spbk0002085	511	0	995	22	-506	16; 8; 6	Relation des derniers jours de M. J. J. Rousseau
spbk0000605	547	3000	0	730	-3183	302; 245; 245; 242; 242; 2; 1; 2	"Dissertation sur l'établissement de l'Abbaye de S. Claude, ses chroniques, se légendes, ses chartes, ses usurpations, et sur les droits des habitans de cette terre"
spbk0002776	585	17535	0	5707	-22657	9; 2304; 2304; 36; 234; 9; 5753; 459; 1188; 272; 18	Elémens d'histoire générale
spbk0001929	589	750	0	77	-238	92; 36; 36; 37; 23; 40	"Pièces justificatives concernant la déclaration des sentimens faussement attribués à M. de Ripert de Monclar, procureur-général au Parlement de Provence"
spbk0002523	610	0	2036	1	-1427	1023; 703; 648	Zoé: drame en trois actes
spbk0002698	614	513	1928	42	-1869	381; 3; 1; 1290; 336; 810; 742; 478	"Sermons sur différens textes de l'Ecriture-Sainte, par J.E. Bertrand, membre de plusieurs académies, professeur de belles-lettres, et ci-devant ministre du Saint Evangile à Neuchâtel"
spbk0002709	647	1500	0	112	-965	10; 10; 37; 17; 23	Réflexions d'un homme de bon sens sur les comètes & sur leur retour ou Préservatif contre la peur
spbk0000379	686	0	4102	16	-3432	1146; 984; 928; 896	Confessions (les) de J. -J. Rousseau; suivies des Rêveries du promeneur solitaire
spbk0002345	831	0	2047	1	-1217	1181; 930; 883	Tombeaux (les) de Vérone: drame en cinq actes
spbk0001776	845	0	1034	0	-189	944; 71; 856	Collection complète des oeuvres [de Coyer]
spbk0001888	888	0	2100	148	-1360	2027; 1554; 1554; 48; 935; 835; 70; 846; 24; 734; 66; 291	Recueil des passages du Nouveau Testament qui servent à établir les vérités et les devoirs de la religion chrétienne
spbk0000624	917	2006	4130	256	-5475	954; 26; 4; 1028; 3102; 894; 2364; 2193; 804; 10; 9; 6; 766; 2019; 54; 189; 684; 1677; 8; 556; 1152; 530; 942; 600; 768	"Droit des gens (le) ou Principes de la loi naturelle, appliqués à la conduite & aux affaires des nations & des souverains"
spbk0000441	1234	0	3061	88	-1915	1217	"Correspondance ou défense fondamentale de spectable Théodore Rilliet contre l'ordonnance du conseil de Genève qui, sous le nom de sentence, le dégrade de son état de citoyen, etc., etc., etc., pour avoir témérairement et calomnieusement imputé à dame Ursule de Planta, sa femme, de lui avoir avoué qu'elle avait eu un enfant avant son mariage, et qu'elle l'avait eu de son frère; rendue sur une plainte en diffamation de ce même frère, le baron de Planta"
spbk0002867	1332	0	4032	160	-2860	632; 8; 8	"Relation des voyages entrepris par ordre de Sa Majesté britannique pourfaire des découvertes dans l'hémisphère méridional et successivement exécutés par le commodore Byron, le capitaine Carteret, le capitaine Wallis & le capitaine Cook dans les vaisseaux le Dauphin, le Swallow & l'Endeavour"
spbk0001606	1415	0	2520	2	-1107	1820; 1495	"Mort (la) de Louis XI, roi de France: pièce historique"
